# Dados de ECG realista com múltiplos ciclos cardíacos
# Formato: timestamp(ms),voltagem(mV)
# Taxa de amostragem: 250 Hz (intervalo de 4ms entre pontos)
# Frequência cardíaca simulada: ~72 BPM

0,0.02
4,0.05
8,0.08
12,0.10
16,0.12
20,0.13
24,0.12
28,0.10
32,0.08
36,0.05
40,0.02
44,0.00
48,-0.02
52,-0.04
56,-0.05
60,-0.06
64,-0.08
68,-0.10
72,-0.15
76,-0.25
80,-0.35
84,-0.40
88,-0.35
92,-0.25
96,-0.15
100,-0.08
104,-0.05
108,-0.02
112,0.00
116,0.03
120,0.06
124,0.10
128,0.15
132,0.18
136,0.18
140,0.15
144,0.10
148,0.06
152,0.03
156,0.00
160,-0.02
164,-0.03
168,-0.02
172,0.00
176,0.02
180,0.04
184,0.05
188,0.05
192,0.04
196,0.02
200,0.00
204,-0.01
208,-0.01
212,0.00
216,0.01
220,0.02
224,0.03
228,0.03
232,0.02
236,0.01
240,0.00
244,-0.01
248,-0.01
252,-0.01
256,0.02
260,0.05
264,0.08
268,0.10
272,0.12
276,0.13
280,0.12
284,0.10
288,0.08
292,0.05
296,0.02
300,0.00
304,-0.02
308,-0.04
312,-0.05
316,-0.06
320,-0.08
324,-0.10
328,-0.15
332,-0.25
336,-0.35
340,-0.40
344,-0.35
348,-0.25
352,-0.15
356,-0.08
360,-0.05
364,-0.02
368,0.00
372,0.03
376,0.06
380,0.10
384,0.15
388,0.18
392,0.18
396,0.15
400,0.10
404,0.06
408,0.03
412,0.00
416,-0.02
420,-0.03
424,-0.02
428,0.00
432,0.02
436,0.04
440,0.05
444,0.05
448,0.04
452,0.02
456,0.00
460,-0.01
464,-0.01
468,0.00
472,0.01
476,0.02
480,0.03
484,0.03
488,0.02
492,0.01
496,0.00
500,-0.01
504,-0.01
508,-0.01
512,0.02
516,0.05
520,0.08
524,0.10
528,0.12
532,0.13
536,0.12
540,0.10
544,0.08
548,0.05
552,0.02
556,0.00
560,-0.02
564,-0.04
568,-0.05
572,-0.06
576,-0.08
580,-0.10
584,-0.15
588,-0.25
592,-0.35
596,-0.40
600,-0.35
604,-0.25
608,-0.15
612,-0.08
616,-0.05
620,-0.02
624,0.00
628,0.03
632,0.06
636,0.10
640,0.15
644,0.18
648,0.18
652,0.15
656,0.10
660,0.06
664,0.03
668,0.00
672,-0.02
676,-0.03
680,-0.02
684,0.00
688,0.02
692,0.04
696,0.05
700,0.05
704,0.04
708,0.02
712,0.00
716,-0.01
720,-0.01
724,0.00
728,0.01
732,0.02
736,0.03
740,0.03
744,0.02
748,0.01
752,0.00
